,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
13345,AMD,Call,165,2025-09-26T00:00:00.000,67591,0.5537255565605071,1.51,0,0,0.287727754203228,0.03951845634749127,-0.6209016935968416,0.05315128599217114,0.004230077248509899,0.9684242017341382,0,29956,0,0
13344,AMD,Call,162.5,2025-09-26T00:00:00.000,61621,0.5493258945259784,2.28,0,0,0.3897403373941402,0.04480706887450031,-0.6944991816035075,0.05978549683778374,0.005707511059383425,0.9833230356069712,0,15066,0,0
13347,AMD,Call,170,2025-09-26T00:00:00.000,34132,0.5730089180784484,0.63,0,0,0.14152507707848344,0.025107388593138324,-0.42112076156298034,0.034944768028364825,0.0020913780505653293,0.9399411369772518,0,22560,0,0
13346,AMD,Call,167.5,2025-09-26T00:00:00.000,19496,0.5640462183266259,0.99,0,0,0.20549979962028897,0.032367886904779465,-0.5267448574392956,0.044345369319034426,0.0030296052036484864,0.9539701091709422,0,13154,0,0
13412,AMD,Put,157.5,2025-09-26T00:00:00.000,15697,0.5470121862975622,2.33,0,0,0,0.04467734000473985,0,0.059361319528629226,0,1.0145396399119544,0,5332,0,0
13411,AMD,Put,155,2025-09-26T00:00:00.000,15296,0.5473941294107291,1.47,0,0,0,0.03896848562670383,0,0.05181230347448642,0,1.0309031824911794,0,8219,0,0
13348,AMD,Call,172.5,2025-09-26T00:00:00.000,13883,0.5849165694053069,0.4,0,0,0.0957108638519647,0.018642926103480485,-0.3254890595625283,0.026486662558128687,0.0014168402361934116,0.9263188016587409,0,6456,0,0
13473,AMD,Call,165,2025-10-03T00:00:00.000,12598,0.42550615788468377,3.2,0,0,0.37023167891676945,0.028762606140174157,-0.2727029403730277,0.11652935464345031,0.02086769638718465,0.9684242017341382,0,4807,0,0
13688,AMD,Call,180,2025-10-17T00:00:00.000,10197,0.41065245856075605,2.04,0,0,0.19501942693572138,0.013790202169434123,-0.12243417862209663,0.13424843740225376,0.02703886764924416,0.8877221849229601,0,18699,0,0
13686,AMD,Call,170,2025-10-17T00:00:00.000,9927,0.3970855964143883,4.05,0,0,0.3369816593294307,0.018886808086172754,-0.15877159156505355,0.17778981597504181,0.046234064146371906,0.9399411369772518,0,19467,0,0
13475,AMD,Call,170,2025-10-03T00:00:00.000,9644,0.43387621153428446,1.9,0,0,0.24839380425801572,0.023654660056619467,-0.23158707474569915,0.09772007867308195,0.014092521152313282,0.9399411369772518,0,16636,0,0
13409,AMD,Put,150,2025-09-26T00:00:00.000,8940,0.5697827412055855,0.54,0,0,0,0.02259753548195528,0,0.031274444439018174,0,1.0652666219075522,0,9726,0,0
13476,AMD,Call,172.5,2025-10-03T00:00:00.000,8165,0.43780361594304507,1.44,0,0,0.19894943548292754,0.020658184814151145,-0.20541218690870416,0.08611380119123972,0.011317816315079512,0.9263188016587409,0,6757,0,0
13687,AMD,Call,175,2025-10-17T00:00:00.000,7639,0.40203923516176704,2.86,0,0,0.25763433526589097,0.016492238069516562,-0.14112758487942006,0.15718540283016336,0.03556702747672267,0.913085675920759,0,15196,0,0
