,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
4631,IONQ,Put,64,2025-09-26T00:00:00.000,18808,1.4324125495800808,1.06,0,0,0,0.02624366634538301,0,0.018507748986092757,0,1.1240625381469727,0,8299,0,0
4941,IONQ,Call,100,2025-10-17T00:00:00.000,17663,1.1026204029723345,2.49,0,0,0.2115081903980791,0.01197401833734969,-0.15150660597034968,0.06344126903863018,0.011815538485477289,0.7194000244140625,0,14013,0,0
4627,IONQ,Put,60,2025-09-26T00:00:00.000,9559,1.463372035312391,0.45,0,0,0,0.01571308751120867,0,0.011320803612501238,0,1.1990000406901042,0,9170,0,0
4559,IONQ,Call,75,2025-09-26T00:00:00.000,5630,1.4536493414599092,2.81,0,0,0.4128472053047219,0.038175813534997494,-0.8326261026712914,0.027321776377252638,0.0025580826927405005,0.9592000325520833,0,3182,0,0
4629,IONQ,Put,62,2025-09-26T00:00:00.000,3856,1.4581493799107177,0.72,0,0,0,0.02084072244369607,0,0.014961521568651357,0,1.1603226200226815,0,5947,0,0
4564,IONQ,Call,80,2025-09-26T00:00:00.000,3764,1.5124719398218103,1.55,0,0,0.2599401933516702,0.030560815198771088,-0.7205990853126699,0.02275690710178169,0.0016314985384130423,0.8992500305175781,0,2899,0,0
4759,IONQ,Put,60,2025-10-03T00:00:00.000,3093,1.065803106836482,1.38,0,0,0,0.016473826591112586,0,0.03388554452053572,0,1.1990000406901042,0,1923,0,0
4557,IONQ,Call,73,2025-09-26T00:00:00.000,2736,1.4574422659696162,3.61,0,0,0.48837469926497823,0.03899453748623218,-0.8555478917780835,0.027980541130734803,0.0029988652316605673,0.9854794854987158,0,1215,0,0
4707,IONQ,Call,81,2025-10-03T00:00:00.000,2640,1.1442269742940825,3.17,0,0,0.3373909733616334,0.022982411750724237,-0.3123294776389718,0.050751721689051434,0.007869077350572452,0.8881481782889661,0,857,0,0
4632,IONQ,Put,65,2025-09-26T00:00:00.000,2531,1.4336230251064903,1.3,0,0,0,0.028841506748388424,0,0.02035700524255725,0,1.1067692683293269,0,2121,0,0
