,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
9157,SPY,Put,500,2025-11-21T00:00:00.000,201594,0.30359108351410535,0.65,0,0,0,0.0004449636698408499,0,0.13920314293442318,0,1.3336800537109375,0,223044,0,0
9167,SPY,Put,550,2025-11-21T00:00:00.000,101006,0.24457527329671397,1.25,0,0,0,0.0010539133795247613,0,0.2656152101671724,0,1.2124364124644886,0,103956,0,0
9147,SPY,Put,450,2025-11-21T00:00:00.000,100223,0.36245789401107914,0.34,0,0,0,0.000195041757342983,0,0.07284850430173026,0,1.481866726345486,0,104877,0,0
6451,SPY,Put,660,2025-09-26T00:00:00.000,38793,0.14716516522520223,1.26,0,0,0,0.03141439700894294,0,0.1955677099555168,0,1.0103636770537405,0,33614,0,0
8194,SPY,Put,631,2025-10-17T00:00:00.000,30497,0.1639689395269421,1.89,0,0,0,0.005793292511238332,0,0.3921889811381581,0,1.0567987747313292,0,13306,0,0
6441,SPY,Put,650,2025-09-26T00:00:00.000,27665,0.18719647493734617,0.42,0,0,0,0.011771952128399994,0,0.09322009768495064,0,1.025907733623798,0,24260,0,0
5972,SPY,Put,658,2025-09-24T00:00:00.000,25958,0.25200178690408664,0.39,0,0,0,0.024198206778680273,0,0.04275013565235576,0,1.0134346912697094,0,23848,0,0
6449,SPY,Put,658,2025-09-26T00:00:00.000,23556,0.15610868096576558,1.01,0,0,0,0.025992335040285686,0,0.17164681552614766,0,1.0134346912697094,0,9785,0,0
8213,SPY,Put,650,2025-10-17T00:00:00.000,23202,0.13847145639131814,4,0,0,0,0.010978274681575629,0,0.627628556606264,0,1.025907733623798,0,62109,0,0
6282,SPY,Call,670,2025-09-26T00:00:00.000,23134,0.10288409561928011,1.47,0,0,0.33426120151412486,0.054396298782551034,-0.5431648625331171,0.2367450977646644,0.021064642117729074,0.9952836221723415,0,8332,0,0
7868,SPY,Put,655,2025-10-10T00:00:00.000,23118,0.13017286774399578,3.59,0,0,0,0.0147318922892134,0,0.5548733565447362,0,1.0180763768785783,0,22273,0,0
7853,SPY,Put,640,2025-10-10T00:00:00.000,22404,0.15352416736661445,1.7,0,0,0,0.008021478031671265,0,0.3563247699013037,0,1.0419375419616699,0,23249,0,0
8197,SPY,Put,634,2025-10-17T00:00:00.000,20308,0.1611799048093187,2.17,0,0,0,0.0064443709171807875,0,0.4288444230412622,0,1.051798149614304,0,20870,0,0
6453,SPY,Put,662,2025-09-26T00:00:00.000,19592,0.14097699479760079,1.65,0,0,0,0.037104354561608016,0,0.22127712994611365,0,1.0073112188149074,0,17798,0,0
7570,SPY,Put,650,2025-10-03T00:00:00.000,18934,0.14232079619986227,1.55,0,0,0,0.013220373148011102,0,0.3120020870683306,0,1.025907733623798,0,13146,0,0
6287,SPY,Call,675,2025-09-26T00:00:00.000,18378,0.0991137438324696,0.35,0,0,0.11238437322375971,0.029620526453005933,-0.26856811168961636,0.12419098000574041,0.007096017062865061,0.9879111508969908,0,17465,0,0
5960,SPY,Put,646,2025-09-24T00:00:00.000,18228,0.254762601035494,0.12,0,0,0,0.0004141239847591462,0,0.00073963380386897,0,1.0322601034914376,0,17055,0,0
5977,SPY,Put,663,2025-09-24T00:00:00.000,16418,0.25086627807500483,0.91,0,0,0,0.0504337443751935,0,0.08869807463367843,0,1.005791895709606,0,5888,0,0
5974,SPY,Put,660,2025-09-24T00:00:00.000,14981,0.2515465513498136,0.52,0,0,0,0.034747441018699046,0,0.0612762087943706,0,1.0103636770537405,0,7948,0,0
5978,SPY,Put,664,2025-09-24T00:00:00.000,14966,0.2506402041814192,1.12,0,0,0,0.05456446590613975,0,0.09587631586410358,0,1.004277148878718,0,5071,0,0
6454,SPY,Put,663,2025-09-26T00:00:00.000,14580,0.13668886411528433,1.86,0,0,0,0.04021193224610796,0,0.23251526841217057,0,1.005791895709606,0,10806,0,0
6446,SPY,Put,655,2025-09-26T00:00:00.000,14281,0.16734764815692652,0.71,0,0,0,0.01937750796547989,0,0.1371768852166044,0,1.0180763768785783,0,20657,0,0
8188,SPY,Put,625,2025-10-17T00:00:00.000,13606,0.17367694412478982,1.57,0,0,0,0.004723710330727868,0,0.33871448494811596,0,1.06694404296875,0,54630,0,0
5961,SPY,Put,647,2025-09-24T00:00:00.000,13379,0.2545305824277492,0.12,0,0,0,0.0006578048485453657,0,0.001173782782510297,0,1.0306646473809409,0,12348,0,0
6357,SPY,Put,485,2025-09-26T00:00:00.000,12928,1.076291046329593,0.02,0,0,0,0.000048253305158601554,0,0.002196950103818951,0,1.3749278904236468,0,12951,0,0
8203,SPY,Put,640,2025-10-17T00:00:00.000,11547,0.1526645864858637,2.71,0,0,0,0.007907801979658931,0,0.498428002681331,0,1.0419375419616699,0,69930,0,0
7039,SPY,Put,660,2025-09-30T00:00:00.000,11325,0.1178723525366259,2.09,0,0,0,0.026407572212985408,0,0.3513817999563393,0,1.0103636770537405,0,9539,0,0
5976,SPY,Put,662,2025-09-24T00:00:00.000,11157,0.251092693212333,0.74,0,0,0,0.04556744577976595,0,0.08021202005564514,0,1.0073112188149074,0,5812,0,0
9778,SPY,Call,735,2025-12-19T00:00:00.000,10675,0.09602841695723995,1.18,0,0,0.07230795315585853,0.00367128891771196,-0.03733602517591601,0.5374786705645537,0.1612675274982297,0.9072653426605017,0,6045,0,0
9179,SPY,Put,610,2025-11-21T00:00:00.000,10553,0.18081876301160632,3.57,0,0,0,0.003452226355987496,0,0.6432476867952006,0,1.093180371894211,0,42618,0,0
7029,SPY,Put,650,2025-09-30T00:00:00.000,10429,0.13967218114568375,0.83,0,0,0,0.012989525231018545,0,0.20480569496646242,0,1.025907733623798,0,62227,0,0
7560,SPY,Put,640,2025-10-03T00:00:00.000,10329,0.16221911369967337,0.82,0,0,0,0.007423497949864634,0,0.19968987183839426,0,1.0419375419616699,0,22193,0,0
12270,SPY,Call,765,2026-09-18T00:00:00.000,10217,0.09473582956949211,11.03,0,0,0.2568762352579615,0.0042725957216415995,-0.05927136898149048,2.5669868382778547,2.285672005197579,0.8716863096149918,0,10381,0,0
6450,SPY,Put,659,2025-09-26T00:00:00.000,10050,0.15237013259782034,1.14,0,0,0,0.02855333358067568,0,0.18404332236614762,0,1.0118968541054154,0,6801,0,0
7019,SPY,Put,640,2025-09-30T00:00:00.000,9461,0.16605831092119647,0.41,0,0,0,0.006243400751272079,0,0.11703632173595084,0,1.0419375419616699,0,49271,0,0
6425,SPY,Put,636,2025-09-26T00:00:00.000,9231,0.25492809708469727,0.17,0,0,0,0.0037211023519154525,0,0.04012848095127214,0,1.0484906082633156,0,9337,0,0
8163,SPY,Put,600,2025-10-17T00:00:00.000,8990,0.2125853465411693,0.77,0,0,0,0.0021031284681637687,0,0.18458970259713706,0,1.1114000447591146,0,79576,0,0
8183,SPY,Put,620,2025-10-17T00:00:00.000,8985,0.18091283153770574,1.33,0,0,0,0.003981741548331022,0,0.29740672218340636,0,1.0755484304120464,0,56665,0,0
7578,SPY,Put,658,2025-10-03T00:00:00.000,8896,0.12756693651565987,2.74,0,0,0,0.020105943254264163,0,0.4253123559077096,0,1.0134346912697094,0,8760,0,0
7580,SPY,Put,660,2025-10-03T00:00:00.000,8812,0.12433735859073769,3.19,0,0,0,0.021949671275425606,0,0.4525588671410246,0,1.0103636770537405,0,5802,0,0
9890,SPY,Put,600,2025-12-19T00:00:00.000,8173,0.19053692803978767,5.1,0,0,0,0.002846604761899085,0,0.8268928409646561,0,1.1114000447591146,0,35192,0,0
9604,SPY,Put,635,2025-11-28T00:00:00.000,7603,0.1558136902037695,6.77,0,0,0,0.005530474495775959,0,0.9944215806759634,0,1.0501417745755413,0,6308,0,0
6443,SPY,Put,652,2025-09-26T00:00:00.000,7583,0.17973322115196683,0.52,0,0,0,0.014388341091401972,0,0.10939626193562849,0,1.0227607773856882,0,8834,0,0
5867,SPY,Call,670,2025-09-24T00:00:00.000,7472,0.2507091302548675,0.48,0,0,0.32146814005468305,0.053975260607979414,-3.0270906846921246,0.0948670927187567,0.003357829321416581,0.9952836221723415,0,3284,0,0
5975,SPY,Put,661,2025-09-24T00:00:00.000,7397,0.2513194506251313,0.64,0,0,0,0.040245656146599994,0,0.07090809327488161,0,1.0088351389644006,0,3420,0,0
8177,SPY,Put,614,2025-10-17T00:00:00.000,7344,0.18968719213231977,1.1,0,0,0,0.003253121021106213,0,0.2547689930068807,0,1.0860586756603725,0,9484,0,0
9900,SPY,Put,650,2025-12-19T00:00:00.000,7210,0.14786521557348314,12.02,0,0,0,0.006106766691405216,0,1.376639575166979,0,1.025907733623798,0,18738,0,0
9183,SPY,Put,630,2025-11-21T00:00:00.000,7199,0.16229587061107553,5.58,0,0,0,0.005175659860844116,0,0.8655829087089454,0,1.0584762331039186,0,40755,0,0
8218,SPY,Put,655,2025-10-17T00:00:00.000,7125,0.13149267463926273,4.91,0,0,0,0.012765646642068494,0,0.6930310944975849,0,1.0180763768785783,0,16883,0,0
8182,SPY,Put,619,2025-10-17T00:00:00.000,7045,0.1803558186903795,1.23,0,0,0,0.003806427877084327,0,0.28343671515466,0,1.0772859884579462,0,8664,0,0
8933,SPY,Put,640,2025-10-31T00:00:00.000,7041,0.15200675875869618,4.56,0,0,0,0.007226245797813831,0,0.7248673584391238,0,1.0419375419616699,0,14863,0,0
8193,SPY,Put,630,2025-10-17T00:00:00.000,7037,0.16633939534010966,1.86,0,0,0,0.005608922183858141,0,0.3851969820706344,0,1.0584762331039186,0,92491,0,0
6284,SPY,Call,672,2025-09-26T00:00:00.000,6448,0.10028799710015947,0.86,0,0,0.22836693303918498,0.04636650998256866,-0.43548373323274797,0.19670561883116255,0.014405070926638569,0.9923214685349238,0,3614,0,0
6160,SPY,Put,662,2025-09-25T00:00:00.000,6148,0.1555868771483618,1.2,0,0,0,0.041704094049932396,0,0.15998566308036571,0,1.0073112188149074,0,4900,0,0
7863,SPY,Put,650,2025-10-10T00:00:00.000,5687,0.13780748505340062,2.77,0,0,0,0.012167218779442992,0,0.48515329854347444,0,1.025907733623798,0,5822,0,0
6162,SPY,Put,664,2025-09-25T00:00:00.000,5619,0.14629156435355872,1.64,0,0,0,0.050333424402049035,0,0.18155372867135916,0,1.004277148878718,0,1780,0,0
8125,SPY,Put,455,2025-10-17T00:00:00.000,5529,0.4673125366135489,0.08,0,0,0,0.00008771427688722244,0,0.016923339309681526,0,1.4655824766054257,0,207234,0,0
8181,SPY,Put,618,2025-10-17T00:00:00.000,5279,0.18428368780146873,1.26,0,0,0,0.0037302763265802865,0,0.28381558588438155,0,1.0790291696690433,0,6473,0,0
10367,SPY,Call,840,2026-01-16T00:00:00.000,5149,0.11654978362363248,0.06,0,0,0.0038007620849495882,0.00021611715202405065,-0.002982928107995716,0.05084628467584506,0.011233179682725409,0.7938571748279389,0,34982,0,0
8198,SPY,Put,635,2025-10-17T00:00:00.000,5115,0.15952066013068084,2.24,0,0,0,0.00666751674036726,0,0.4391262464631127,0,1.0501417745755413,0,34763,0,0
5969,SPY,Put,655,2025-09-24T00:00:00.000,5112,0.25268724125759645,0.27,0,0,0,0.011866773411900263,0,0.0210216430361371,0,1.0180763768785783,0,5333,0,0
6161,SPY,Put,663,2025-09-25T00:00:00.000,5069,0.1490615152813655,1.37,0,0,0,0.04643908055001099,0,0.1706783967021625,0,1.005791895709606,0,1814,0,0
9185,SPY,Put,634,2025-11-21T00:00:00.000,5028,0.15839590663219824,6.1,0,0,0,0.005596606804361412,0,0.9134909005003068,0,1.051798149614304,0,5052,0,0
10368,SPY,Put,210,2026-01-16T00:00:00.000,4942,0.6072784092381768,0.09,0,0,0,0.000013018321084257624,0,0.015958840596193194,0,3.1754286993117558,0,20614,0,0
6289,SPY,Call,677,2025-09-26T00:00:00.000,4918,0.10034357222298966,0.19,0,0,0.06664616201388411,0.019808264891789575,-0.18299405793217002,0.0840812951834884,0.004209749040961922,0.9849926541439715,0,3410,0,0
6452,SPY,Put,661,2025-09-26T00:00:00.000,4868,0.1444610439800681,1.45,0,0,0,0.034187009231110246,0,0.20891771073169924,0,1.0088351389644006,0,4666,0,0
5966,SPY,Put,652,2025-09-24T00:00:00.000,4855,0.25337584231388627,0.19,0,0,0,0.0047489033595951935,0,0.008435468937178755,0,1.0227607773856882,0,4983,0,0
8923,SPY,Put,630,2025-10-31T00:00:00.000,4741,0.16362216103704003,3.42,0,0,0,0.005599647996395604,0,0.6046245353210231,0,1.0584762331039186,0,13028,0,0
