,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
61,TSLA,Call,360,2025-09-12T00:00:00.000,99024,0.8252289648009635,2.37,0.9999999,74.626854,0.263904662495718,0.021623172293634443,-3.5923631304263868,0.05987055174847135,0.0024653003841934923,0.9720836215549045,0,30335,2.37,2.38
59,TSLA,Call,355,2025-09-12T00:00:00.000,94012,0.881909341564947,4.29,1.8399999,74.79673,0.38785334133114024,0.02371366859989817,-4.502414442875976,0.07016848146051476,0.003601077179243955,0.9857749401683539,0,17557,4.25,4.3
159,TSLA,Put,350,2025-09-12T00:00:00.000,69907,0.3796399594242153,2.78,-4.2200003,-60.285717,0,0.05736719043094228,0,0.07307265511379403,0,0.999857439313616,0.049896240234375,10052,2.78,2.81
57,TSLA,Call,350,2025-09-12T00:00:00.000,68556,0.9656365464784543,7.05,2.9100003,70.28986,0.5098206969205801,0.022547846101926738,-5.135944596829365,0.07305301504715714,0.0046948439941433716,0.999857439313616,0,24255,7,7.1
157,TSLA,Put,345,2025-09-12T00:00:00.000,50137,0.468261073282023,1.47,-2.9799998,-66.966286,0,0.03889717552407641,0,0.06111186134317695,0,1.0143481268399004,0,14033,1.47,1.48
63,TSLA,Call,365,2025-09-12T00:00:00.000,40703,0.8000779196908321,1.24,0.47000003,60.256416,0.16307280996296097,0.016809601204958516,-2.623452093667068,0.04512415518043806,0.0015295163497790335,0.9587674075610018,0,19521,1.24,1.26
155,TSLA,Put,340,2025-09-12T00:00:00.000,39871,0.5364301662229286,0.76,-1.94,-71.85185,0,0.023512059966981864,0,0.04231781756678821,0,1.0292650110581343,0,14007,0.75,0.76
58,TSLA,Call,352.5,2025-09-12T00:00:00.000,39817,0.9248300911064489,5.6,2.3999999,74.99999,0.45085210801456754,0.02337092836135333,-4.881305652235273,0.07251991808376783,0.004169198410411151,0.9927662518007535,0,9414,5.55,5.6
64,TSLA,Call,370,2025-09-12T00:00:00.000,35269,0.8012140143553598,0.65,0.21999997,52.38094,0.09596642065283895,0.011602757408419397,-1.815066785414075,0.03119098845571498,0.0009022865442442269,0.9458110912426098,0,32304,0.64,0.65
158,TSLA,Put,347.5,2025-09-12T00:00:00.000,30504,0.42957572333302074,2.04,-3.56,-63.23268,0,0.048035831862993,0,0.06923479886139448,0,1.0070506583014838,0,7017,2.02,2.04
