,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest
124,QBTS,Put,17,2025-09-12T00:00:00.000,196,0.000010000000000000003,1.95,0,0,0,0,0,0,0,0.8944117602180032,1.7950000762939453,385
201,QBTS,Put,18,2025-09-19T00:00:00.000,76,0.000010000000000000003,3.13,0,0,0,0,0,0,0,0.8447222179836698,2.7950000762939453,1736
480,QBTS,Put,1,2026-01-16T00:00:00.000,20,0.500005,0.01,0,0,0,2.3011575890962833e-20,0,9.619989984382435e-21,0,15.204999923706055,0,3365
120,QBTS,Put,15,2025-09-12T00:00:00.000,312,0.5566450585937501,0.53,0,0,0,0.3576139665575296,0,0.007565263521195398,0,1.0136666615804037,0,1189
122,QBTS,Put,16,2025-09-12T00:00:00.000,343,0.57617611328125,1.15,0,0,0,0.2886453006498132,0,0.0063204932437876905,0,0.9503124952316284,0.7950000762939453,1403
199,QBTS,Put,17,2025-09-19T00:00:00.000,185,0.57617611328125,2.17,0,0,0,0.1523845108736631,0,0.007229685534729396,0,0.8944117602180032,1.7950000762939453,2544
195,QBTS,Put,15,2025-09-19T00:00:00.000,180,0.5996133789062501,0.87,0,0,0,0.22775093635394228,0,0.011244879816420791,0,1.0136666615804037,0,3181
119,QBTS,Put,14.5,2025-09-12T00:00:00.000,291,0.6035195898437502,0.36,0,0,0,0.27258514180325205,0,0.006252083671224584,0,1.048620684393521,0,1075
311,QBTS,Put,13.5,2025-10-03T00:00:00.000,46,0.6367223828125,0.64,0,0,0,0.11085568604463651,0,0.012071238627464178,0,1.126296290644893,0,175
263,QBTS,Put,14.5,2025-09-26T00:00:00.000,27,0.6367223828125,0.8,0,0,0,0.16199452394684397,0,0.013066534717187328,0,1.048620684393521,0,414
118,QBTS,Put,14,2025-09-12T00:00:00.000,362,0.64648791015625,0.23,0,0,0,0.1832622394345352,0,0.0045026130675746715,0,1.0860714231218611,0,2391
268,QBTS,Put,17,2025-09-26T00:00:00.000,57,0.648441015625,2.4,0,0,0,0.14040881417473702,0,0.01153386395964865,0,0.8944117602180032,1.7950000762939453,240
414,QBTS,Put,18,2025-10-17T00:00:00.000,31,0.6513706738281251,3.65,0,0,0,0.09772484699119352,0,0.016530920517187266,0,0.8447222179836698,2.7950000762939453,1259
148,QBTS,Call,14,2025-09-19T00:00:00.000,205,0.6562534375000001,1.62,0,0,0.7703791781745208,0.16109648733400966,-0.023092630810153985,0.008705244923724655,0.0036404638145788137,1.0860714231218611,1.2049999237060547,549
