,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
1703,SPY,Put,640,2025-09-19T00:00:00.000,55840,0.15913074798073706,2.81,0.049999952,1.8115925,0,0.02066743174536069,0,0.3412330625848744,0,1.013562297821045,0,40717,2.79,2.8
1690,SPY,Put,627,2025-09-19T00:00:00.000,53716,0.1925333802971246,1.18,0.00999999,0.8547001,0,0.010234750464320246,0,0.20445313869074244,0,1.034577146101226,0,3731,1.13,1.14
1667,SPY,Put,604,2025-09-19T00:00:00.000,42000,0.2548150213605369,0.35,0,0,0,0.002889997247868324,0,0.07640696392447587,0,1.0739732957044184,0,44851,0.34,0.35
3022,SPY,Put,617,2025-10-17T00:00:00.000,24741,0.18316165529291295,3.51,-0.029999971,-0.8474568,0,0.006669541969082543,0,0.5210750416594254,0,1.0513450090850385,0,1339,3.5,3.51
3020,SPY,Put,615,2025-10-17T00:00:00.000,23465,0.18543215618968897,3.27,0.03999996,1.2383889,0,0.006310103501654421,0,0.49910421038105257,0,1.0547640172446646,0,72593,3.27,3.29
1664,SPY,Put,601,2025-09-19T00:00:00.000,21003,0.2621292743117601,0.3,-0.01999998,-6.0606008,0,0.0024607438675131933,0,0.06692562327620709,0,1.079334227296953,0,29120,0.3,0.31
5724,SPY,Put,400,2026-03-20T00:00:00.000,10059,0.3823114505118707,1.86,0,0,0,0.0003243933892897575,0,0.27308047307755845,0,1.621699676513672,0,12222,1.8,1.81
1660,SPY,Put,597,2025-09-19T00:00:00.000,10022,0.27936629939900415,0.29,0,0,0,0.002148005600626469,0,0.06226154769876527,0,1.0865659474128455,0,14181,0.27,0.28
4410,SPY,Put,585,2025-12-19T00:00:00.000,6093,0.21617057131557837,5.66,0,0,0,0.0030773873537125137,0,0.7669140840268319,0,1.108854479667468,0,9594,5.69,5.71
2537,SPY,Put,550,2025-10-03T00:00:00.000,5617,0.3253766049941974,0.36,0,0,0,0.0008440281169609963,0,0.07281805124873969,0,1.1794179465553978,0,5712,0.35,0.36
1693,SPY,Put,630,2025-09-19T00:00:00.000,5012,0.18272297195046447,1.38,0,0,0,0.012129708988289566,0,0.22996091058990864,0,1.0296505882626488,0,101604,1.36,1.38
4963,SPY,Put,575,2026-01-16T00:00:00.000,4660,0.22249544070333585,6.38,0,0,0,0.002584212668720347,0,0.8484520732313793,0,1.1281389054008153,0,16849,6.41,6.44
1708,SPY,Put,645,2025-09-19T00:00:00.000,4413,0.14692530547361482,4.04,-0.010000229,-0.24691921,0,0.025477184431639068,0,0.3883814878273896,0,1.0057052257449128,0,33909,4.06,4.07
716,SPY,Put,649,2025-09-12T00:00:00.000,4402,0.15137668696985535,2.99,-0.03999996,-1.3201308,0,0.05487503045903055,0,0.19152776658661544,0,0.9995067343689811,0.32012939453125,4941,2.98,2.99
5363,SPY,Put,580,2026-02-20T00:00:00.000,4303,0.21624013324332966,8.84,0,0,0,0.0026579748979803667,0,1.0800472567986588,0,1.1184135700094289,0,4608,8.82,8.86
715,SPY,Put,648,2025-09-12T00:00:00.000,3988,0.1573928288244823,2.62,-0.03000021,-1.1320833,0,0.05244114259208495,0,0.19030713037457508,0,1.0010491830331307,0,4679,2.63,2.66
576,SPY,Call,649,2025-09-12T00:00:00.000,3669,0.1836366631877804,3.43,0.08000016,2.3880646,0.4946640896801572,0.04523898343517843,-1.3240733644775753,0.19154472841359374,0.017394445900651853,0.9995067343689811,0,4772,3.41,3.44
577,SPY,Call,650,2025-09-12T00:00:00.000,3282,0.17924678808531977,2.88,0.10000014,3.5971274,0.4482554233440432,0.04596062658496778,-1.2785724057497831,0.18994825018324035,0.015775028493863755,0.9979690317007212,0,12702,2.86,2.88
5106,SPY,Call,700,2026-01-30T00:00:00.000,2833,0.10873903248156595,4.61,0,0,0.1950949152931556,0.006268529833356329,-0.0812385825876155,1.115854282025956,0.4744128357796483,0.9266855294363839,0,3554,4.84,4.87
712,SPY,Put,645,2025-09-12T00:00:00.000,2694,0.1736305253497734,1.75,-0.00999999,-0.5681813,0,0.04292474624532496,0,0.17184297778315877,0,1.0057052257449128,0,9835,1.73,1.75
2954,SPY,Put,385,2025-10-17T00:00:00.000,2521,0.5889420589782421,0.07,0,0,0,0.00004928034818119089,0,0.012379868749577284,0,1.6848827807934252,0,6681,0.06,0.07
6219,SPY,Put,260,2026-06-18T00:00:00.000,2500,0.5001416441966011,0.97,0,0,0,0.0000839120682993406,0,0.1359539223189525,0,2.494922579251803,0,2529,0.94,0.96
4967,SPY,Put,595,2026-01-16T00:00:00.000,2455,0.20527506740926565,8.6,0,0,0,0.00341458499659938,0,1.0343132284367487,0,1.0902182699251575,0,24426,8.5,8.53
711,SPY,Put,644,2025-09-12T00:00:00.000,2022,0.1788022374743545,1.53,-0.01999998,-1.2903214,0,0.039493779966311295,0,0.16281695389692719,0,1.0072668798221565,0,5219,1.52,1.54
6215,SPY,Call,870,2026-06-18T00:00:00.000,1997,0.1192840752464319,0.15,-0.019999996,-11.764703,0.006981386011080968,0.00028635416833128733,-0.004096750772790191,0.11065225670914007,0.03370987302417719,0.7456090466729526,0,6427,0.15,0.16
717,SPY,Put,650,2025-09-12T00:00:00.000,1804,0.14718992974073566,3.45,0.00999999,0.2906974,0,0.055718858949039995,0,0.18909423393073063,0,0.9979690317007212,1.32012939453125,5278,3.41,3.45
4871,SPY,Call,750,2026-01-16T00:00:00.000,1728,0.10705595738844143,0.31,0,0,0.020859036414028493,0.0012200743004237027,-0.013773044902976905,0.19274142562327,0.0463634833253936,0.864906494140625,0,9030,0.29,0.31
2418,SPY,Call,611,2025-10-03T00:00:00.000,1725,0.11987513283890665,39.35,0,0,0.9815774226855516,0.002313140687571748,-0.12257390698643558,0.07352363385619673,0.3764309275986028,1.0616691826603417,37.67987060546875,909,38.63,41.45
2581,SPY,Put,640,2025-10-03T00:00:00.000,1611,0.15085402716271482,5.43,0.13999987,2.6465003,0,0.014734301221155164,0,0.5893621850435852,0,1.013562297821045,0,3754,5.25,5.29
5760,SPY,Put,580,2026-03-20T00:00:00.000,1562,0.2176597763455348,10.61,0,0,0,0.002552502372660548,0,1.223335781464897,0,1.1184135700094289,0,2616,10.38,10.41
6217,SPY,Put,250,2026-06-18T00:00:00.000,1511,0.5123876275779665,0.88,0,0,0,0.00007422529457309751,0,0.12320401545596417,0,2.594719482421875,0,12916,0.86,0.88
7536,SPY,Put,420,2027-12-17T00:00:00.000,1500,0.2793205319019144,10.48,0,0,0,0.0005040722424228919,0,1.3439835666266138,0,1.5444758823939733,0,796,10.41,10.53
6631,SPY,Call,515,2026-09-18T00:00:00.000,1500,0.18319431510135997,157.61,0,0,0.9405555757363098,0.0009844182630555512,-0.0994094206154087,0.7754761845426822,4.624274849284213,1.2595725642824636,133.67987060546875,5109,158.75,159.55
1468,SPY,Call,660,2025-09-19T00:00:00.000,1491,0.10513814900494958,0.92,0.030000031,3.3333368,0.1635644988543688,0.023048000403582323,-0.2294035869219157,0.2514224577757949,0.02593504059102746,0.9828482887961648,0,27423,0.92,0.93
364,SPY,Call,650,2025-09-11T00:00:00.000,1432,0.21402036000971036,2.32,0.06999993,3.111108,0.43403947812664473,0.05414771444100401,-2.1150390163401256,0.13359899726392738,0.007650210205722111,0.9979690317007212,0,1978,2.35,2.36
1463,SPY,Call,655,2025-09-19T00:00:00.000,1423,0.11301675181838447,2.32,0.03999996,1.7543843,0.31493855821569267,0.030855632571761073,-0.36110070620497936,0.36181599606711806,0.04980188297885633,0.9903509474892652,0,35497,2.35,2.36
707,SPY,Put,640,2025-09-12T00:00:00.000,1369,0.197955892390896,0.89,-0.04000002,-4.3010774,0,0.026941077774092895,0,0.1229649601038338,0,1.013562297821045,0,18412,0.89,0.9
3050,SPY,Put,645,2025-10-17T00:00:00.000,1261,0.14241766311976337,8.8,0.26000023,3.0444992,0,0.013185809801989062,0,0.8010144759427973,0,1.0057052257449128,0,23620,8.63,8.65
2868,SPY,Call,620,2025-10-17T00:00:00.000,1141,0.14420054692687273,33.29,0,0,0.8635063168181975,0.007345445223854184,-0.21114800919427207,0.45180885093451656,0.5340662777217379,1.0462578558152722,28.67987060546875,10371,33.89,34.1
713,SPY,Put,646,2025-09-12T00:00:00.000,1082,0.17101374403123992,2.05,0.01999998,0.94339526,0,0.04568542202985653,0,0.18013853661348048,0,1.0041484065100135,0,4469,2.08,2.09
2352,SPY,Put,634,2025-09-30T00:00:00.000,1067,0.1633932471204951,3.77,0,0,0,0.012804590710233215,0,0.4823894251778665,0,1.0231543700401715,0,2903,3.45,3.47
575,SPY,Call,648,2025-09-12T00:00:00.000,1033,0.18826654452348562,4.03,0.06000018,1.5037639,0.5390104777098136,0.04391925354452472,-1.3545249704643956,0.19064528803865854,0.01893782174990651,1.0010491830331307,0.67987060546875,3991,4.03,4.05
477,SPY,Put,649,2025-09-11T00:00:00.000,1012,0.18626639360905364,2.65,-0.049999952,-1.8587343,0,0.06304247453942995,0,0.135374147939562,0,0.9995067343689811,0.32012939453125,1193,2.64,2.65
3792,SPY,Put,530,2025-11-21T00:00:00.000,1006,0.28719824521584436,1.55,0,0,0,0.0011179192253367612,0,0.26649721926463527,0,1.2239242841612619,0,2818,1.56,1.57
2297,SPY,Put,576,2025-09-30T00:00:00.000,1004,0.2742406305251044,0.45,0,0,0,0.0015243939548996574,0,0.09638889258060894,0,1.1261803309122722,0,1575,0.44,0.45
2288,SPY,Put,567,2025-09-30T00:00:00.000,1000,0.2945116973420826,0.37,0,0,0,0.0011635030622956929,0,0.07900745152441464,0,1.144056209180721,0,2360,0.36,0.37
5109,SPY,Call,715,2026-01-30T00:00:00.000,1000,0.10812186109005655,2.49,0,0,0.11920808125673243,0.0045514308791410624,-0.05630176294402578,0.8055969011091179,0.29115011909352206,0.9072445742733829,0,1652,2.4,2.42
4828,SPY,Call,535,2026-01-16T00:00:00.000,993,0.12272476973142131,121.16,0,0,0.9980145823335648,0.00013359668122636605,-0.08520881121592387,0.024193897899631948,1.8454162240193148,1.2124857394494744,113.67987060546875,3268,121.15,124.44
1119,SPY,Put,615,2025-09-17T00:00:00.000,988,0.22633715133737303,0.34,0,0,0,0.004309327565657576,0,0.07871026442584506,0,1.0547640172446646,0,1039,0.29,0.3
2416,SPY,Call,609,2025-10-03T00:00:00.000,988,0.2474440490722656,40.62,0,0,0.8616666164612461,0.005479173952692799,-0.3618088677160748,0.3594909127120796,0.32440805389720867,1.0651557809613608,39.67987060546875,500,40.42,43.24
582,SPY,Call,655,2025-09-12T00:00:00.000,977,0.15142662036015567,0.81,0.030000031,3.846158,0.200497687080046,0.0385608274876209,-0.7587277015910947,0.1346314578593794,0.00708212677872767,0.9903509474892652,0,8900,0.8,0.81
1260,SPY,Put,624,2025-09-18T00:00:00.000,972,0.2160318755312392,1.05,0,0,0,0.008735560958271505,0,0.17404702332779354,0,1.0395510746882513,0,972,0.66,0.67
1629,SPY,Put,561,2025-09-19T00:00:00.000,906,0.4008803638742659,0.13,0,0,0,0.0006117115154652518,0,0.025443211489907178,0,1.156292104466076,0,1308,0.11,0.12
2470,SPY,Call,663,2025-10-03T00:00:00.000,874,0.09616362812765249,1.9,0,0,0.21532622303276855,0.018676227041176493,-0.1660614786962356,0.4762070269272962,0.08681887916114507,0.9784010114712952,0,1238,2.01,2.04
1458,SPY,Call,650,2025-09-19T00:00:00.000,874,0.12476159227532076,4.74,0.089999676,1.9354769,0.48259812966829024,0.03136248621575884,-0.4565087374204924,0.40597742072716436,0.07602206111695917,0.9979690317007212,0,63388,4.78,4.8
1413,SPY,Call,605,2025-09-19T00:00:00.000,869,0.25299330819617905,44.65,0,0,0.9640259342413884,0.003066702201750662,-0.25605143047000406,0.08049911889380149,0.14318487574126518,1.0721981332321797,43.67987060546875,18751,43.56,45.52
476,SPY,Put,648,2025-09-11T00:00:00.000,865,0.19266802558175336,2.25,-0.059999943,-2.5974002,0,0.06054735137834932,0,0.13448466796210246,0,1.0010491830331307,0,1535,2.25,2.27
2346,SPY,Put,628,2025-09-30T00:00:00.000,852,0.17062359225698776,2.72,0,0,0,0.010399094870382835,0,0.4091029352554189,0,1.0329297302634852,0,2169,2.59,2.61
2421,SPY,Call,614,2025-10-03T00:00:00.000,836,0.1388321379330842,36.68,0,0,0.9521761267046964,0.004402802273593412,-0.16306859272656274,0.16207461851000102,0.36609540255566125,1.0564818739502748,34.67987060546875,374,36.87,37.34
363,SPY,Call,649,2025-09-11T00:00:00.000,819,0.22164625895169096,2.88,0.09000015,3.191495,0.48911778693497404,0.052991237068484735,-2.2233825327396515,0.13540429551749086,0.008613722266844169,0.9995067343689811,0,822,2.87,2.89
4673,SPY,Put,560,2025-12-31T00:00:00.000,800,0.23814284299517155,4.36,0,0,0,0.002072465152798113,0,0.6372513613740056,0,1.15835691179548,0,4802,4.43,4.46
4970,SPY,Put,610,2026-01-16T00:00:00.000,792,0.19022518538536806,10.56,0,0,0,0.004192808621999244,0,1.176931004361623,0,1.0634096239433914,0,17360,10.55,10.59
710,SPY,Put,643,2025-09-12T00:00:00.000,788,0.18399907570954196,1.34,-0.00999999,-0.724637,0,0.03610968964333523,0,0.15319245328275619,0,1.0088333912993293,0,6130,1.34,1.35
4737,SPY,Put,625,2025-12-31T00:00:00.000,782,0.17512711813499288,11.95,0,0,0,0.005424539548912343,0,1.226598083962428,0,1.03788779296875,0,1768,11.95,12
368,SPY,Call,654,2025-09-11T00:00:00.000,768,0.176971088898002,0.64,-0.08000004,-11.111116,0.19343178232451885,0.04565925174517902,-1.2137035553037139,0.09315348166377076,0.0034201453021713455,0.9918652455741113,0,1506,0.71,0.72
4605,SPY,Call,760,2025-12-31T00:00:00.000,763,0.11253993582764472,0.14,0,0,0.010375112284926087,0.0006805860575302164,-0.008242640492360724,0.09889531363305357,0.020221758010529955,0.8535261455335115,0,4173,0.13,0.14
2432,SPY,Call,625,2025-10-03T00:00:00.000,760,0.12671661852260074,26.28,0,0,0.8969270886575524,0.008694897978108657,-0.2047440521951702,0.2921419205698149,0.3500653862930736,1.03788779296875,23.67987060546875,787,26.97,27.24
1116,SPY,Put,612,2025-09-17T00:00:00.000,760,0.24019147756458972,0.32,0,0,0,0.003727922909445253,0,0.07225876507175538,0,1.0599344290939032,0,855,0.25,0.26
5655,SPY,Call,665,2026-03-20T00:00:00.000,760,0.13478914753542723,24.02,0,0,0.5034260784243203,0.0063072268426847995,-0.1436932222429465,1.8719520631833995,1.5831668879900263,0.9754584520382988,0,3184,24.43,24.48
2412,SPY,Call,595,2025-10-03T00:00:00.000,738,0.29431858032226554,54.62,0,0,0.8925492366043366,0.0038579030592653576,-0.36174590422808195,0.3010681437431071,0.3284573274678913,1.0902182699251575,53.67987060546875,391,53.59,56.83
6270,SPY,Put,515,2026-06-18T00:00:00.000,712,0.2605415834975328,8.14,0,0,0,0.0012186423257306241,0,1.0285552008240202,0,1.2595725642824636,0,2715,7.71,7.74
5707,SPY,Put,315,2026-03-20T00:00:00.000,690,0.4825702550729997,0.92,0,0,0,0.00012399984597521123,0,0.13175983443243178,0,2.0593011765252975,0,916,0.91,0.92
718,SPY,Put,651,2025-09-12T00:00:00.000,687,0.14031168059473265,3.92,-0.03999996,-1.0101,0,0.05630327115674678,0,0.18214842824845232,0,0.996436053157402,2.32012939453125,2629,3.88,3.9
2429,SPY,Call,622,2025-10-03T00:00:00.000,683,0.10085321854169932,28.5,0,0,0.9617339693684485,0.0050613968627119255,-0.13748255210521063,0.1353492857782504,0.3751567599056605,1.0428936826454482,26.67987060546875,574,29.54,29.92
7482,SPY,Call,955,2027-12-17T00:00:00.000,668,0.11290091630998719,2.11,0,0,0.04887374675113652,0.0009181505791272366,-0.01446837070090173,0.989486092205634,0.671324608628609,0.6792459378067736,0,674,1.97,2.04
6076,SPY,Put,665,2026-03-31T00:00:00.000,660,0.20740418946039987,40.83,0,0,0,0.003978891499169364,0,1.921759200549448,0,0.9754584520382988,16.32012939453125,141,31.24,31.33
1843,SPY,Call,661,2025-09-26T00:00:00.000,648,0.09523420717526468,1.42,0.059999943,4.4117603,0.19886333287794622,0.021571079068614774,-0.1835889107320048,0.37892460135641043,0.055924883743315466,0.9813613776179557,0,1936,1.4,1.43
4420,SPY,Put,635,2025-12-19T00:00:00.000,645,0.1635141514861161,13.02,0,0,0,0.0065794409832382675,0,1.240258805566294,0,1.0215431033156988,0,5074,13.1,13.15
2362,SPY,Put,644,2025-09-30T00:00:00.000,644,0.1409870794245838,5.8,0,0,0,0.017802727699072426,0,0.5787137981942636,0,1.0072668798221565,0,1448,5.57,5.6
2553,SPY,Put,612,2025-10-03T00:00:00.000,642,0.20237165678259164,1.81,0,0,0,0.005746165705090466,0,0.30833558347028583,0,1.0599344290939032,0,1256,1.74,1.75
578,SPY,Call,651,2025-09-12T00:00:00.000,639,0.17387121518695162,2.36,0.109999895,4.9107094,0.39977190187199735,0.046268008417755205,-1.2085826106720554,0.18548400700054649,0.014080218387837231,0.996436053157402,0,5925,2.35,2.37
776,SPY,Call,650,2025-09-15T00:00:00.000,638,0.1231319676244369,3.27,0.07999992,2.5078347,0.461822618900649,0.04247912524489995,-0.584741798824979,0.30149795244863503,0.0405897310508427,0.9979690317007212,0,3581,3.29,3.31
1713,SPY,Put,650,2025-09-19T00:00:00.000,628,0.14029336037523119,6.05,0.03999996,0.6711403,0,0.027898343743628963,0,0.40609348920964145,0,0.9979690317007212,1.32012939453125,10170,6.02,6.05
579,SPY,Call,652,2025-09-12T00:00:00.000,607,0.16668696562250182,1.86,0.08000004,4.4943843,0.3483332829334615,0.04619671732431835,-1.1072005267026528,0.17754593404914032,0.01227927610415649,0.9949077770022526,0,21007,1.86,1.87
5762,SPY,Put,590,2026-03-20T00:00:00.000,602,0.20825977395247863,11.7,0,0,0,0.002859920339235218,0,1.3114769881804949,0,1.0994574078058792,0,6813,11.68,11.72
