,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
5382,SPY,Put,650,2025-09-12T00:00:00.000,40839,0.1691884582227939,1.61,-0.58000004,-26.48402,0,0.06664069330208428,0,0.1311010526206175,0,1.0022614933894232,0,8017,1.62,1.63
7691,SPY,Put,621,2025-10-17T00:00:00.000,26742,0.1772752441573625,3.35,-0.2900002,-7.967038,0,0.0069442943787777255,0,0.5153172198919793,0,1.049065975367351,0,679,3.28,3.3
5385,SPY,Put,653,2025-09-12T00:00:00.000,25815,0.14353596329825985,2.77,-0.73,-20.857143,0,0.07806310594673646,0,0.1302874230768375,0,0.9976569229756891,1.530029296875,561,2.76,2.77
7687,SPY,Put,617,2025-10-17T00:00:00.000,25769,0.1820245555009965,2.9,-0.21999979,-7.0512757,0,0.006182060593428876,0,0.47104421736683877,0,1.0558670513826987,0,24919,2.91,2.93
5247,SPY,Call,655,2025-09-12T00:00:00.000,22168,0.1727594621096207,1.02,0.00999999,0.9708729,0.2806320384234412,0.05720429756717067,-1.4665654137466997,0.1149122794363516,0.004980913584933631,0.9946106422948473,0,9149,1.02,1.03
5377,SPY,Put,645,2025-09-12T00:00:00.000,20010,0.2086167813363664,0.68,-0.34999996,-33.98058,0,0.036407009623008746,0,0.08831412866024191,0,1.0100309623304264,0,14544,0.67,0.68
5246,SPY,Call,654,2025-09-12T00:00:00.000,19441,0.17939864260146215,1.41,0,0,0.34590047140484864,0.06028646912562334,-1.6694109899843106,0.1257578027260591,0.006135171780063393,0.9961314536745031,0,5816,1.41,1.42
5367,SPY,Put,635,2025-09-12T00:00:00.000,18027,0.2864684509984166,0.17,-0.13000001,-43.333336,0,0.009263798937525351,0,0.030857579707712534,0,1.0259369617372047,0,86560,0.16,0.17
5384,SPY,Put,652,2025-09-12T00:00:00.000,17720,0.1530427361743849,2.32,-0.68000007,-22.66667,0,0.07617687137230832,0,0.1355600726228082,0,0.9991870716305599,0.530029296875,2331,2.3,2.31
5372,SPY,Put,640,2025-09-12T00:00:00.000,17399,0.24542174653799206,0.31,-0.21999997,-42.307686,0,0.01794806629518047,0,0.05121847538115449,0,1.0179218292236327,0,20532,0.3,0.31
5245,SPY,Call,653,2025-09-12T00:00:00.000,17300,0.1882300416003235,1.9,0.07999992,4.3956,0.4121384877559803,0.06064104850335565,-1.851584565776014,0.1327246470889837,0.007303995850521062,0.9976569229756891,0,6698,1.88,1.89
5380,SPY,Put,648,2025-09-12T00:00:00.000,16052,0.18355398229697797,1.11,-0.48000002,-30.188679,0,0.05411669330430204,0,0.11550239840346153,0,1.0053548930603782,0,8787,1.11,1.12
6368,SPY,Put,640,2025-09-19T00:00:00.000,15912,0.1603394402407061,1.89,-0.31000006,-14.090911,0,0.01877606867186972,0,0.28004701912910057,0,1.0179218292236327,0,116675,1.88,1.9
5252,SPY,Call,660,2025-09-12T00:00:00.000,14290,0.15586928656267118,0.13,0,0,0.057403475519313706,0.02164740215460265,-0.448794400854519,0.03923397148840312,0.0010210038497212286,0.9870757131865531,0,14194,0.12,0.13
7720,SPY,Put,650,2025-10-17T00:00:00.000,14006,0.13205654043977885,8.85,-0.5,-5.3475933,0,0.014552944554449032,0,0.8044688462880769,0,1.0022614933894232,0,11785,8.88,8.91
5248,SPY,Call,656,2025-09-12T00:00:00.000,13895,0.16787667536456857,0.72,0,0,0.22013557395644012,0.0517421114580459,-1.250606407799432,0.10100210991905165,0.0039093620798936355,0.9930944675352515,0,5833,0.71,0.72
6348,SPY,Put,620,2025-09-19T00:00:00.000,13145,0.2169358008484008,0.51,-0.07999998,-13.5593195,0,0.005429691935975906,0,0.10957017250576423,0,1.0507580172631048,0,95121,0.51,0.52
5386,SPY,Put,654,2025-09-12T00:00:00.000,12850,0.12951167920451373,3.26,-0.99,-23.294117,0,0.07755939706709956,0,0.11679904662627204,0,0.9961314536745031,2.530029296875,516,3.31,3.34
5244,SPY,Call,652,2025-09-12T00:00:00.000,12818,0.19568776082276698,2.44,0.10000014,4.2735105,0.4746531923716634,0.05966514394643862,-1.972701007749224,0.135762646634456,0.008404994556945544,0.9991870716305599,0,21760,2.46,2.47
6353,SPY,Put,625,2025-09-19T00:00:00.000,11582,0.20382460495166257,0.7,-0.07999998,-10.256408,0,0.007417772831966679,0,0.1406423338238415,0,1.042351953125,0,69130,0.67,0.68
6378,SPY,Put,650,2025-09-19T00:00:00.000,11360,0.1381588808134285,4.35,-0.49000025,-10.123971,0,0.029541417858663228,0,0.37966107090591855,0,1.0022614933894232,0,10340,4.35,4.37
5381,SPY,Put,649,2025-09-12T00:00:00.000,11358,0.17269840700252212,1.29,-0.58000004,-31.016045,0,0.06157872929447708,0,0.12365594296798851,0,1.0038058100202234,0,7200,1.34,1.35
7715,SPY,Put,645,2025-10-17T00:00:00.000,11236,0.1382242450813477,7.27,-0.46000004,-5.9508414,0,0.01330307892126748,0,0.7697236565013139,0,1.0100309623304264,0,25260,7.32,7.35
6128,SPY,Call,655,2025-09-19T00:00:00.000,11092,0.11277643803347967,3.03,0.19000006,6.690143,0.39635040552816225,0.03543244533116242,-0.4199911567777868,0.371711010455011,0.055929947852625436,0.9946106422948473,0,34863,3.05,3.07
6358,SPY,Put,630,2025-09-19T00:00:00.000,11006,0.18804844214554403,0.93,-0.14000005,-13.084116,0,0.010081531129429187,0,0.1763527196629407,0,1.0340793185763888,0,109114,0.93,0.94
6373,SPY,Put,645,2025-09-19T00:00:00.000,10217,0.14807014200099428,2.83,-0.4000001,-12.3839035,0,0.024575024276722247,0,0.3384911938699522,0,1.0100309623304264,0,40081,2.82,2.83
5383,SPY,Put,651,2025-09-12T00:00:00.000,9893,0.15883671041734918,1.9,-0.65999997,-25.78125,0,0.07325819479984919,0,0.1353016322993096,0,1.000721921202957,0,3509,1.92,1.93
6363,SPY,Put,635,2025-09-19T00:00:00.000,9442,0.17321351706831878,1.29,-0.22000003,-14.569539,0,0.01382465350235208,0,0.22275217914178383,0,1.0259369617372047,0,53975,1.32,1.33
6381,SPY,Put,653,2025-09-19T00:00:00.000,8835,0.13705518250480575,5.77,-0.6199999,-9.702659,0,0.03012173271047195,0,0.3840266280066607,0,0.9976569229756891,1.530029296875,321,5.68,5.7
6133,SPY,Call,660,2025-09-19T00:00:00.000,8119,0.10438514386601927,1.25,0.100000024,8.54701,0.21848869297307433,0.029293856176529697,-0.2911844899157722,0.2844468739830143,0.030923577514549647,0.9870757131865531,0,27664,1.25,1.26
7705,SPY,Put,635,2025-10-17T00:00:00.000,8095,0.1530608517232363,5.08,-0.40999985,-7.4681215,0,0.010388094456576416,0,0.6655772294923722,0,1.0259369617372047,0,39384,5.15,5.17
6126,SPY,Call,653,2025-09-19T00:00:00.000,7892,0.11850176722427838,4.1,0.25,6.4935064,0.47012010933528076,0.03480742262458263,-0.45956754520509047,0.38369188996198716,0.06622885125602308,0.9976569229756891,0,5144,4.09,4.12
6512,SPY,Call,665,2025-09-26T00:00:00.000,7377,0.0902572041986524,0.94,0.13,16.049383,0.1528101205651723,0.019803258161399242,-0.1515022678342173,0.31174947021402355,0.04052515264427415,0.9796540912828947,0,5093,0.95,0.96
7670,SPY,Put,600,2025-10-17T00:00:00.000,7317,0.20811119294573815,1.78,-0.13999999,-7.291666,0,0.003755138454919052,0,0.32712959285915,0,1.0857832845052082,0,75903,1.79,1.8
5387,SPY,Put,655,2025-09-12T00:00:00.000,7207,0.11734039150928097,3.89,-0.8299997,-17.58474,0,0.06894605459767937,0,0.09407037842461972,0,0.9946106422948473,3.530029296875,908,3.9,3.94
7023,SPY,Put,640,2025-09-30T00:00:00.000,7190,0.14316328622351518,3.51,-0.3499999,-9.067356,0,0.015432221525448852,0,0.4881009442792117,0,1.0179218292236327,0,26232,3.51,3.53
9078,SPY,Put,600,2025-12-19T00:00:00.000,7031,0.20278779294611712,6.81,-0.07999992,-1.1611019,0,0.003745770398392712,0,0.8744079462550388,0,1.0857832845052082,0,42381,6.79,6.81
6370,SPY,Put,642,2025-09-19T00:00:00.000,6995,0.15711166028369636,2.27,-0.28999996,-11.328124,0,0.02090911761851398,0,0.30558360494615316,0,1.0147507331824377,0,12349,2.22,2.23
10329,SPY,Call,710,2026-03-20T00:00:00.000,6972,0.11614160119712219,7.04,0.5999999,9.316769,0.23076434943685237,0.005572673026898218,-0.08604449101970484,1.42988434459705,0.745924612430709,0.917563339018486,0,7609,6.95,6.99
6123,SPY,Call,650,2025-09-19T00:00:00.000,6841,0.12577611786473394,5.92,0.28999996,5.150976,0.5705231149114248,0.03237140298508349,-0.4892940770327248,0.3787438891065312,0.08016628536039487,1.0022614933894232,1.469970703125,62928,5.91,5.95
5379,SPY,Put,647,2025-09-12T00:00:00.000,6727,0.1921402272276101,0.94,-0.43,-31.386862,0,0.04764133964889032,0,0.1064383673487908,0,1.0069087646107033,0,4594,0.93,0.94
5249,SPY,Call,657,2025-09-12T00:00:00.000,6628,0.16122716287470232,0.47,-0.030000001,-5.882353,0.1624550349584682,0.044698312824192385,-0.9951456619514317,0.08379638464493992,0.002886700736026532,0.9915829082239346,0,6591,0.47,0.48
10327,SPY,Call,700,2026-03-20T00:00:00.000,6605,0.11984924838536781,9.9,0.39999962,4.210522,0.292231216235072,0.006098268053105803,-0.10241005963476052,1.6146982146827797,0.9394842125218678,0.93067138671875,0,21112,9.77,9.81
6129,SPY,Call,656,2025-09-19T00:00:00.000,6477,0.11394427514203809,2.7,0.27999997,11.570246,0.3630288322668791,0.03414028174322628,-0.41037057510138414,0.36186413123387007,0.051244357856721844,0.9930944675352515,0,3243,2.59,2.61
6638,SPY,Put,645,2025-09-26T00:00:00.000,6380,0.13822745088201258,4.09,-0.37999964,-8.50111,0,0.01993351074797134,0,0.4805795561776823,0,1.0100309623304264,0,2819,4.05,4.07
5545,SPY,Put,651,2025-09-15T00:00:00.000,6259,0.09932671785568416,2.34,-0.6200001,-20.94595,0,0.05849323487930214,0,0.27022632531674323,0,1.000721921202957,0,367,2.34,2.35
7700,SPY,Put,630,2025-10-17T00:00:00.000,6220,0.16169674689690058,4.35,-0.3000002,-6.451617,0,0.009013529561613115,0,0.6100909883095653,0,1.0340793185763888,0,76722,4.36,4.38
5378,SPY,Put,646,2025-09-12T00:00:00.000,6034,0.19962359720208045,0.79,-0.43,-35.2459,0,0.04178161580562898,0,0.09698242691031095,0,1.0084674469088621,0,5248,0.79,0.8
9043,SPY,Put,425,2025-12-19T00:00:00.000,6003,0.4120591626609612,0.85,-0.029999971,-3.4090877,0,0.00028395129898262176,0,0.13468975696898527,0,1.5328705193014707,0,9915,0.85,0.86
6634,SPY,Put,642,2025-09-26T00:00:00.000,5927,0.1463457381076811,3.51,-0.32999992,-8.593748,0,0.017607920504051768,0,0.4494437510552546,0,1.0147507331824377,0,6765,3.37,3.4
